Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import 147 days depth 0 to -5 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -5 to -10 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -10 to -15 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -15 to -20 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -20 to -25 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -25 to -30 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -30 to -35 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -35 to -40 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -40 to -45 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -45 to -50 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -50 to -55 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -55 to -60 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -60 to -65 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -65 to -70 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -70 to -75 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -75 to -80 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -80 to -85 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -85 to -90 cm,1,868.480,868.480,4.329,3.458,143.590,48.402,209.000,478.000,179.526,30.600
imageJ cluster import 147 days depth -90 to -95 cm,2,2121.840,1060.920,10.577,3.268,130.898,41.086,560.000,240.500,55.493,30.823
imageJ cluster import 147 days depth -95 to -100 cm,5,4230.600,846.120,21.090,2.877,110.013,37.559,651.400,254.400,99.170,21.320
imageJ cluster import 147 days depth -100 to -105 cm,2,7042.120,3521.060,35.105,3.629,325.041,115.863,529.500,0.000,115.791,59.042
imageJ cluster import 147 days depth -105 to -110 cm,3,8011.400,2670.467,39.937,3.137,228.740,81.254,330.000,5.667,93.486,43.161
imageJ cluster import 147 days depth -110 to -115 cm,2,9197.280,4598.640,45.849,3.749,370.733,130.592,422.000,0.000,123.745,65.679
imageJ cluster import 147 days depth -115 to -120 cm,2,9568.920,4784.460,47.701,3.760,385.325,131.372,410.000,0.000,125.029,67.913
imageJ cluster import 147 days depth -120 to -125 cm,2,10373.600,5186.800,51.713,3.801,385.886,133.137,410.000,0.000,125.507,68.039
imageJ cluster import 147 days depth -125 to -130 cm,2,11101.840,5550.920,55.343,3.814,389.791,133.962,398.500,0.000,126.653,70.191
imageJ cluster import 147 days depth -130 to -135 cm,2,11974.960,5987.480,59.696,3.820,409.675,136.753,387.000,0.000,128.290,72.452
imageJ cluster import 147 days depth -135 to -140 cm,2,12759.160,6379.580,63.605,3.849,405.945,137.742,375.500,0.000,129.362,74.713
imageJ cluster import 147 days depth -140 to -145 cm,2,13903.560,6951.780,69.310,3.865,410.658,141.822,352.000,0.000,131.916,78.727
imageJ cluster import 147 days depth -145 to -150 cm,3,15270.640,5090.213,76.125,3.249,304.494,99.963,459.667,154.333,130.197,57.726
imageJ cluster import 147 days depth -150 to -155 cm,1,16764.119,16764.119,83.570,3.899,648.284,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 147 days depth -155 to -160 cm,3,19428.520,6476.173,96.852,2.653,230.055,78.147,214.000,143.333,132.912,36.147
