Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import 147 days depth 0 to -5 cm,1,11624.640,11624.640,57.949,0.043,522.025,170.513,233.000,0.000,147.745,100.200
imageJ cluster import 147 days depth -5 to -10 cm,1,11886.720,11886.720,59.256,0.046,521.020,180.921,233.000,0.000,148.102,100.200
imageJ cluster import 147 days depth -10 to -15 cm,1,11428.520,11428.520,56.972,0.047,536.849,183.393,233.000,0.000,146.882,100.200
imageJ cluster import 147 days depth -15 to -20 cm,1,10679.880,10679.880,53.240,0.056,554.384,183.393,233.000,0.000,146.882,100.200
imageJ cluster import 147 days depth -20 to -25 cm,2,8993.360,4496.680,44.832,0.135,369.681,109.425,407.500,501.000,43.974,68.235
imageJ cluster import 147 days depth -25 to -30 cm,11,10283.120,934.829,51.262,0.547,116.417,33.619,694.273,251.545,89.055,18.329
imageJ cluster import 147 days depth -30 to -35 cm,1,14993.480,14993.480,74.743,0.073,1019.396,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 147 days depth -35 to -40 cm,1,13325.560,13325.560,66.428,0.088,962.208,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 147 days depth -40 to -45 cm,1,10831.120,10831.120,53.994,0.109,981.480,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 147 days depth -45 to -50 cm,2,9044.040,4522.020,45.085,0.271,508.678,122.313,0.000,273.500,26.453,54.698
imageJ cluster import 147 days depth -50 to -55 cm,4,6653.560,1663.390,33.168,0.208,228.600,86.945,215.500,114.000,121.650,34.002
imageJ cluster import 147 days depth -55 to -60 cm,2,6999.560,3499.780,34.893,0.130,458.630,163.940,0.000,205.000,161.667,68.200
imageJ cluster import 147 days depth -60 to -65 cm,2,9081.080,4540.540,45.270,0.121,495.410,166.639,0.000,193.500,160.692,77.400
imageJ cluster import 147 days depth -65 to -70 cm,1,12361.800,12361.800,61.624,0.073,939.053,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 147 days depth -70 to -75 cm,1,15092.440,15092.440,75.236,0.054,965.821,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 147 days depth -75 to -80 cm,1,19030.240,19030.240,94.866,0.019,600.331,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 147 days depth -80 to -85 cm,1,20060.039,20060.039,100.000,0.000,600.331,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 147 days depth -85 to -90 cm,1,19191.119,19191.119,95.668,0.003,665.238,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 147 days depth -90 to -95 cm,1,17936.160,17936.160,89.412,0.006,713.563,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 147 days depth -95 to -100 cm,3,15823.720,5274.573,78.882,0.431,267.980,73.646,488.333,235.333,105.278,34.279
imageJ cluster import 147 days depth -100 to -105 cm,2,13014.920,6507.460,64.880,0.018,359.983,130.504,183.500,250.500,105.583,72.000
imageJ cluster import 147 days depth -105 to -110 cm,2,12045.959,6022.980,60.050,0.019,338.628,125.696,195.000,250.500,106.888,68.504
imageJ cluster import 147 days depth -110 to -115 cm,2,10860.520,5430.260,54.140,0.023,317.250,120.845,206.500,250.500,108.592,62.650
imageJ cluster import 147 days depth -115 to -120 cm,2,10488.120,5244.060,52.284,0.024,313.383,116.615,224.000,244.500,108.504,61.071
imageJ cluster import 147 days depth -120 to -125 cm,2,9684.000,4842.000,48.275,0.026,300.228,114.028,224.000,244.500,108.337,58.366
imageJ cluster import 147 days depth -125 to -130 cm,2,8956.600,4478.300,44.649,0.028,290.167,108.013,236.500,236.000,104.410,56.559
imageJ cluster import 147 days depth -130 to -135 cm,2,8083.120,4041.560,40.295,0.030,282.309,103.509,231.500,233.500,110.664,50.515
imageJ cluster import 147 days depth -135 to -140 cm,2,7299.520,3649.760,36.388,0.031,264.686,97.716,246.000,47.000,113.843,47.744
imageJ cluster import 147 days depth -140 to -145 cm,2,6155.040,3077.520,30.683,0.035,246.092,93.035,265.000,219.000,99.532,42.302
imageJ cluster import 147 days depth -145 to -150 cm,2,4787.400,2393.700,23.865,0.047,239.601,84.254,299.500,207.500,94.436,38.813
imageJ cluster import 147 days depth -150 to -155 cm,3,3292.080,1097.360,16.411,0.256,133.805,50.461,437.667,230.667,82.359,21.039
imageJ cluster import 147 days depth -155 to -160 cm,13,624.880,48.068,3.115,0.567,29.207,8.298,571.462,180.923,104.828,4.499
