Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import 150 days depth 0 to -5 cm,1,2737.880,2737.880,13.648,0.165,306.287,72.236,431.000,76.000,104.921,54.617
imageJ cluster import 150 days depth -5 to -10 cm,1,3472.080,3472.080,17.308,0.148,253.050,80.364,328.000,113.000,149.159,58.690
imageJ cluster import 150 days depth -10 to -15 cm,1,3353.200,3353.200,16.716,0.138,243.907,82.817,328.000,90.000,146.425,56.676
imageJ cluster import 150 days depth -15 to -20 cm,1,3161.400,3161.400,15.760,0.143,233.075,79.025,328.000,113.000,144.580,55.410
imageJ cluster import 150 days depth -20 to -25 cm,2,2888.480,1444.240,14.399,0.405,137.615,43.987,346.000,67.000,161.176,30.575
imageJ cluster import 150 days depth -25 to -30 cm,19,8037.840,423.044,40.069,0.559,92.929,31.750,485.526,215.895,111.471,13.015
imageJ cluster import 150 days depth -30 to -35 cm,1,17368.721,17368.721,86.584,0.025,760.518,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -35 to -40 cm,1,17473.680,17473.680,87.107,0.047,731.690,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -40 to -45 cm,1,15230.800,15230.800,75.926,0.060,992.904,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -45 to -50 cm,1,13609.320,13609.320,67.843,0.066,953.541,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -50 to -55 cm,1,12601.920,12601.920,62.821,0.076,957.769,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -55 to -60 cm,1,13426.240,13426.240,66.930,0.064,953.911,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -60 to -65 cm,2,15041.560,7520.780,74.983,0.359,507.808,117.482,37.500,125.500,141.278,53.423
imageJ cluster import 150 days depth -65 to -70 cm,1,18334.641,18334.641,91.399,0.045,600.331,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -70 to -75 cm,1,20005.561,20005.561,99.728,0.007,600.331,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -75 to -80 cm,1,20060.039,20060.039,100.000,0.000,600.331,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -80 to -85 cm,1,20060.039,20060.039,100.000,0.000,600.331,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -85 to -90 cm,1,18700.119,18700.119,93.221,0.004,673.804,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -90 to -95 cm,1,17137.760,17137.760,85.432,0.008,718.061,216.573,0.000,0.000,152.441,100.200
imageJ cluster import 150 days depth -95 to -100 cm,1,14427.600,14427.600,71.922,0.018,852.533,216.573,0.000,0.000,152.441,100.200
imageJ cluster import 150 days depth -100 to -105 cm,2,11312.080,5656.040,56.391,0.023,333.834,119.371,206.500,9.000,115.602,66.532
imageJ cluster import 150 days depth -105 to -110 cm,2,10357.720,5178.860,51.634,0.025,316.547,115.625,223.500,244.500,104.674,61.071
imageJ cluster import 150 days depth -110 to -115 cm,2,9644.200,4822.100,48.077,0.026,301.115,113.063,235.000,242.000,109.530,58.384
imageJ cluster import 150 days depth -115 to -120 cm,2,9207.280,4603.640,45.899,0.027,291.882,108.323,237.500,25.000,110.455,56.721
imageJ cluster import 150 days depth -120 to -125 cm,2,8820.880,4410.440,43.972,0.028,286.052,106.738,230.000,230.500,104.940,54.736
imageJ cluster import 150 days depth -125 to -130 cm,2,8221.920,4110.960,40.987,0.030,278.482,102.786,248.500,225.000,107.409,51.339
imageJ cluster import 150 days depth -130 to -135 cm,2,7750.600,3875.300,38.637,0.030,266.122,99.352,260.000,37.000,108.040,49.594
imageJ cluster import 150 days depth -135 to -140 cm,2,7313.640,3656.820,36.459,0.031,260.199,97.008,249.500,227.500,102.565,47.691
imageJ cluster import 150 days depth -140 to -145 cm,2,6741.960,3370.980,33.609,0.034,262.406,96.174,253.000,219.000,102.706,45.538
imageJ cluster import 150 days depth -145 to -150 cm,2,6275.280,3137.640,31.282,0.035,240.450,92.174,272.000,48.000,106.171,42.300
imageJ cluster import 150 days depth -150 to -155 cm,2,5857.240,2928.620,29.199,0.037,240.998,88.494,276.500,207.500,97.097,40.979
imageJ cluster import 150 days depth -155 to -160 cm,3,5121.360,1707.120,25.530,0.229,175.233,58.214,473.667,234.333,72.153,26.814
