Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import 147 days depth 0 to -5 cm,2,8424.960,4212.480,41.999,1,347.354,117.319,326.000,0.000,120.964,61.511
imageJ cluster import 147 days depth -5 to -10 cm,3,8170.760,2723.587,40.732,1,206.395,75.070,535.333,334.000,74.341,42.251
imageJ cluster import 147 days depth -10 to -15 cm,2,8630.040,4315.020,43.021,1,295.025,105.791,314.000,250.500,101.312,60.900
imageJ cluster import 147 days depth -15 to -20 cm,2,9376.920,4688.460,46.744,1,299.134,104.334,314.000,250.500,102.260,63.200
imageJ cluster import 147 days depth -20 to -25 cm,2,11058.000,5529.000,55.125,1,392.116,118.722,314.000,501.000,58.133,71.000
imageJ cluster import 147 days depth -25 to -30 cm,3,9763.560,3254.520,48.672,1,350.207,85.835,403.000,319.333,117.228,50.193
imageJ cluster import 147 days depth -30 to -35 cm,2,5055.040,2527.520,25.200,1,294.151,84.518,326.000,273.500,98.938,47.854
imageJ cluster import 147 days depth -35 to -40 cm,2,6718.920,3359.460,33.494,1,285.772,86.673,310.000,262.000,88.159,55.708
imageJ cluster import 147 days depth -40 to -45 cm,2,9214.560,4607.280,45.935,1,304.384,94.483,279.500,273.500,102.971,68.983
imageJ cluster import 147 days depth -45 to -50 cm,2,11002.120,5501.060,54.846,1,350.088,99.258,267.500,273.500,106.350,83.806
imageJ cluster import 147 days depth -50 to -55 cm,1,13402.400,13402.400,66.811,1,618.372,190.711,0.000,46.000,151.500,100.200
imageJ cluster import 147 days depth -55 to -60 cm,1,13057.520,13057.520,65.092,1,584.411,188.923,0.000,69.000,154.276,95.800
imageJ cluster import 147 days depth -60 to -65 cm,1,10976.320,10976.320,54.717,1,630.158,186.594,0.000,91.000,154.204,95.800
imageJ cluster import 147 days depth -65 to -70 cm,2,7695.680,3847.840,38.363,1,251.961,81.506,275.000,232.500,87.493,61.452
imageJ cluster import 147 days depth -70 to -75 cm,2,4963.600,2481.800,24.744,1,214.721,66.618,270.000,239.500,81.291,50.517
imageJ cluster import 147 days depth -75 to -80 cm,1,1029.480,1029.480,5.132,1,133.072,49.729,650.000,181.000,111.716,27.600
imageJ cluster import 147 days depth -80 to -85 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -85 to -90 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -90 to -95 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -95 to -100 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -100 to -105 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -105 to -110 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -110 to -115 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -115 to -120 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -120 to -125 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -125 to -130 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -130 to -135 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -135 to -140 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -140 to -145 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -145 to -150 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -150 to -155 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 147 days depth -155 to -160 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
