Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import 150 days depth 0 to -5 cm,1,17308.881,17308.881,86.285,1,600.331,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -5 to -10 cm,1,16587.961,16587.961,82.692,1,600.331,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -10 to -15 cm,1,16705.961,16705.961,83.280,1,600.331,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -15 to -20 cm,1,16895.920,16895.920,84.227,1,600.331,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -20 to -25 cm,1,17166.160,17166.160,85.574,1,600.331,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 150 days depth -25 to -30 cm,3,11992.600,3997.533,59.784,1,333.698,80.322,313.333,176.667,139.170,36.582
imageJ cluster import 150 days depth -30 to -35 cm,1,2689.280,2689.280,13.406,1,260.352,74.603,0.000,91.000,120.621,51.800
imageJ cluster import 150 days depth -35 to -40 cm,3,2576.240,858.747,12.843,1,121.235,38.212,431.667,283.667,74.416,25.398
imageJ cluster import 150 days depth -40 to -45 cm,2,4816.720,2408.360,24.012,1,249.545,70.692,340.500,295.000,102.038,52.725
imageJ cluster import 150 days depth -45 to -50 cm,2,6441.000,3220.500,32.109,1,253.956,74.505,265.500,148.000,140.913,62.965
imageJ cluster import 150 days depth -50 to -55 cm,2,7450.520,3725.260,37.141,1,270.236,81.149,313.500,90.000,128.835,65.679
imageJ cluster import 150 days depth -55 to -60 cm,2,6627.040,3313.520,33.036,1,245.990,73.718,373.500,239.000,95.001,59.841
imageJ cluster import 150 days depth -60 to -65 cm,2,5010.960,2505.480,24.980,1,229.002,67.281,320.000,120.500,113.253,52.304
imageJ cluster import 150 days depth -65 to -70 cm,4,1718.640,429.660,8.567,1,65.405,20.130,400.250,293.250,87.195,13.654
imageJ cluster import 150 days depth -70 to -75 cm,1,54.280,54.280,0.271,1,46.413,14.546,673.000,296.000,108.435,9.200
imageJ cluster import 150 days depth -75 to -80 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -80 to -85 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -85 to -90 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -90 to -95 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -95 to -100 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -100 to -105 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -105 to -110 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -110 to -115 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -115 to -120 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -120 to -125 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -125 to -130 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -130 to -135 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -135 to -140 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -140 to -145 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -145 to -150 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -150 to -155 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -155 to -160 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
