Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import 150 days depth 0 to -5 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -5 to -10 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -10 to -15 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -15 to -20 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -20 to -25 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -25 to -30 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -30 to -35 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -35 to -40 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -40 to -45 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -45 to -50 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -50 to -55 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -55 to -60 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -60 to -65 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -65 to -70 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -70 to -75 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -75 to -80 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -80 to -85 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 150 days depth -85 to -90 cm,2,1358.480,679.240,6.772,2.796,96.349,33.000,581.500,244.500,51.588,20.239
imageJ cluster import 150 days depth -90 to -95 cm,4,2918.400,729.600,14.548,3.072,104.024,36.108,754.750,297.250,111.062,21.643
imageJ cluster import 150 days depth -95 to -100 cm,3,5627.680,1875.893,28.054,3.331,239.056,81.610,446.000,31.000,135.509,40.532
imageJ cluster import 150 days depth -100 to -105 cm,2,8744.280,4372.140,43.591,3.718,373.458,128.852,422.000,0.000,123.244,65.693
imageJ cluster import 150 days depth -105 to -110 cm,2,9699.440,4849.720,48.352,3.761,388.430,131.372,410.000,0.000,125.029,67.975
imageJ cluster import 150 days depth -110 to -115 cm,2,10413.640,5206.820,51.912,3.800,387.056,133.137,410.000,0.000,125.507,68.039
imageJ cluster import 150 days depth -115 to -120 cm,2,10850.920,5425.460,54.092,3.810,391.648,133.962,398.500,0.000,126.653,70.174
imageJ cluster import 150 days depth -120 to -125 cm,2,11237.400,5618.700,56.019,3.819,390.535,135.845,398.500,0.000,127.180,70.174
imageJ cluster import 150 days depth -125 to -130 cm,2,11836.360,5918.180,59.005,3.823,401.248,134.886,387.000,0.000,127.813,72.452
imageJ cluster import 150 days depth -130 to -135 cm,2,12307.880,6153.940,61.355,3.841,402.805,137.742,375.500,0.000,129.362,74.515
imageJ cluster import 150 days depth -135 to -140 cm,2,12744.440,6372.220,63.531,3.852,401.399,137.742,375.500,0.000,129.362,74.496
imageJ cluster import 150 days depth -140 to -145 cm,2,13316.240,6658.120,66.382,3.857,417.572,140.683,363.500,0.000,130.923,76.802
imageJ cluster import 150 days depth -145 to -150 cm,2,13783.040,6891.520,68.709,3.867,409.474,141.822,352.000,0.000,131.916,78.727
imageJ cluster import 150 days depth -150 to -155 cm,2,14199.360,7099.680,70.784,3.867,424.022,143.674,352.000,0.000,132.378,79.054
imageJ cluster import 150 days depth -155 to -160 cm,3,14927.280,4975.760,74.413,3.282,315.536,101.270,415.333,0.000,140.950,56.307
